barcode,gene_name,1h_vs_0h,2h_vs_0h,4h_vs_0h,6h_vs_0h,8h_vs_0h,10h_vs_0h,12h_vs_0h,16h_vs_0h,24h_vs_0h,48h_vs_0h
WBGene00021977,Y58A7A.3,0.6209123471463481,0.6867003133524913,0.597886949095245,0.5982552223981,0.5529061004653548,0.5468189685717855,0.5393675917323251,0.552871367879236,0.5078873090063994,0.45389802042939625
WBGene00021978,Y58A7A.4,0.7812403622224975,0.8346750106830194,0.7681261686391925,0.7764447337030388,0.7325686920547625,0.7322476062007731,0.7386613556113494,0.7007430112613393,0.6246470913360975,0.4529955033931431
WBGene00017467,F14F9.4,0.665365543790905,0.7268500740680406,0.5923802436692481,0.5713525483636869,0.5270896377178531,0.5272871595024664,0.5312752837494747,0.5128378887783442,0.4737331976526911,0.46921467361272257
WBGene00021979,Y58A7A.5,0.6590744105628669,0.7568103613418888,0.6650955193623524,0.6657587295059038,0.6097637638410812,0.5914187858991412,0.6012261348718194,0.6389242537785319,0.6200647437109781,0.45260294673006507
WBGene00008602,oac-14,0.6301750215101743,0.7421387548508938,0.7270781076667019,0.7250502326228025,0.6507255969434725,0.6210929838994393,0.6205949982197038,0.6528176910075549,0.6348988083011994,0.37613422150340003
WBGene00004052,parg-2,0.6900581418739093,0.7336899926761525,0.664433023052625,0.6372630333082794,0.5608635127618786,0.5328072088956344,0.5615216811480588,0.5779613322149487,0.5192077415004405,0.4911461978306555
WBGene00004000,pgp-6,0.6707478091607356,0.7270394051252456,0.6008620459693237,0.5919770709927868,0.5423014672285391,0.5420082376508247,0.5561173116073209,0.5800893058775893,0.5222784936621006,0.510446822204377
WBGene00012923,fbxa-128,0.6611968194488962,0.7254593843546038,0.6208571522120468,0.5894614290813175,0.5449414453477006,0.5437588913008972,0.5315057606455084,0.5465425411418688,0.5071987359319681,0.49951523096132744
WBGene00008486,ugt-44,0.37913898648095623,0.47657897668655697,0.47659484717491907,0.5076813078155377,0.5019136623951267,0.49819485144179854,0.4916834843299242,0.5322648218371663,0.5176837170468993,0.47986726341048525
WBGene00019232,ugt-13,0.6013549110755682,0.6426138837376907,0.6265008179348337,0.6502937649158912,0.6089651250037181,0.6178117363240012,0.6272535531083062,0.6106808875014519,0.6094465938124163,0.5354654109097214
WBGene00018966,F56D2.5,0.623508509763895,0.6879330808116582,0.5939894667488719,0.5911325902470481,0.5504780624176826,0.5612696832675437,0.5662785678055038,0.5386369908947926,0.521118272762942,0.47237229819968174
WBGene00007962,C35D6.5,0.6941562242273182,0.7458140121922469,0.6646573914834387,0.5778422605366588,0.4582004007801878,0.45098307880993704,0.40657725733421124,0.3979832965592088,0.44844295576833015,0.4458291993683412
WBGene00015695,ugt-26,0.6003211943540269,0.62654842326111,0.5088333027994699,0.4859197495651391,0.4583040220711584,0.4612375038338841,0.46445424976063654,0.4593019455864934,0.4509910747471296,0.4371381781374244
WBGene00000373,cyp-14A5,0.6206563216220731,0.6367144870464594,0.5944052743065918,0.5937177046645012,0.5644796362322775,0.550816400794905,0.5630238827131181,0.5733091609418494,0.5291591789498844,0.5444753162230505
WBGene00008726,F13A7.11,0.5888528413556794,0.7274719045258687,0.65468123588895,0.6807996063541406,0.6152418800970344,0.6062702197471431,0.60319026955757,0.6319184373310693,0.563721705174135,0.43051891400006936
WBGene00008476,E03H4.8,0.5926611963595956,0.6391402381693244,0.5400682588135602,0.5236995278288912,0.4882594904001578,0.48724563860504666,0.4815918291519432,0.4956946695846063,0.4572879919066902,0.45531211353257545
