barcode,gene_name,1h_vs_0h,2h_vs_0h,4h_vs_0h,6h_vs_0h,8h_vs_0h,10h_vs_0h,12h_vs_0h,16h_vs_0h,24h_vs_0h,48h_vs_0h,go_category,go_description,tsne_0,tsne_1
WBGene00021977,Y58A7A.3,1.93459755434157,2.9872050136398602,1.5661911855239197,1.5720835583696005,0.8464976074456771,0.7491034971485675,0.6298814677172011,0.8459418860677754,0.12619694410239113,-0.7376316731296608,not labeled,not labeled,-24.066645,-51.79955
WBGene00021978,Y58A7A.4,4.49984579555996,5.354800170928311,4.29001869822708,4.423115739248621,3.7210990728762,3.71596169921237,3.81858168978159,3.211888180181429,1.9943534613775604,-0.7520719457097105,not labeled,not labeled,-28.786526000000002,-62.61135
WBGene00017467,F14F9.4,2.645848700654481,3.6296011850886494,1.47808389870797,1.14164077381899,0.43343420348564976,0.4365945520394625,0.500404539991596,0.20540622045350787,-0.4202688375569421,-0.49256522219643806,not labeled,not labeled,-23.5101,-52.101593
WBGene00021979,Y58A7A.5,2.54519056900587,4.108965781470221,2.641528309797639,2.65213967209446,1.7562202214572995,1.4627005743862593,1.6196181579491107,2.2227880604565105,1.9210358993756493,-0.7583528523189598,not labeled,not labeled,-26.03146,-55.528330000000004
WBGene00008602,oac-14,2.0828003441627896,3.8742200776143,3.6332497226672302,3.6008037219648408,2.4116095510955606,1.9374877423910295,1.9295199715152602,2.445083056120879,2.15838093281919,-1.9818524559456003,MF,"transferase activity, transferring acyl groups",-26.171062,-55.84864399999999
WBGene00004052,parg-2,3.0409302699825496,3.7390398828184406,2.6309283688419995,2.19620853293247,0.973816204190058,0.52491534233015,0.9843468983689405,1.2473813154391795,0.3073238640070475,-0.14166083470951207,BP,response to stress,-24.56456,-53.339718000000005
WBGene00004000,pgp-6,2.73196494657177,3.632630482003929,1.613792735509179,1.4716331358845895,0.6768234756566258,0.6721318024131957,0.8978769857171347,1.2814288940414293,0.3564558985936088,0.1671491552700317,MF,transmembrane transporter activity,-24.059647000000002,-52.673687
WBGene00012923,fbxa-128,2.579149111182339,3.6073501496736604,1.9337144353927496,1.4313828653010798,0.7190631255632098,0.7001422608143546,0.5040921703281338,0.7446806582699015,0.11517977491148912,-0.007756304618761867,not labeled,not labeled,-23.908842,-52.47687
WBGene00008486,ugt-44,-1.9337762163047012,-0.37473637301508766,-0.37448244520129403,0.12290092504860262,0.03061859832202707,-0.02888237693122253,-0.13306425072121275,0.5162371493946605,0.2829394727503889,-0.3221237854322352,BP,immune system process,13.233245000000002,19.340193
WBGene00019232,ugt-13,1.6216785772090905,2.281822139803051,2.024013086957339,2.404700238654259,1.7434420000594901,1.8849877811840194,2.0360568497328995,1.7708942000232302,1.7511455009986605,0.567446574555543,MF,"transferase activity, transferring glycosyl groups",-31.709784000000003,-59.146378000000006
